year_of_loan,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,earlies_credit_mon,title,f0,f1,f2,f3,early_return,early_return_amount_3mon
3,6,1,3,10,10,1,1,10,0,1,8,0,0,0,2,2,1.0,0,7,0,0,12,0,3,0.0,0,1,0,0
3,2,1,5,8,10,0,1,11,0,5,32,0,0,4,1,1,1.0,0,1,0,0,11,0,1,0.0,0,1,2,0
3,1,0,4,0,6,0,0,7,4,11,2,0,0,2,1,0,0.0,0,4,1,0,10,0,1,0.0,0,1,0,0
3,1,3,0,10,10,1,1,9,0,0,13,0,0,2,1,0,0.0,6,9,1,0,11,0,2,0.0,0,1,2,0
3,3,1,3,0,4,1,0,8,0,0,13,0,0,2,4,0,0.0,0,4,1,0,5,0,2,0.0,4,2,3,0
3,3,2,3,8,10,1,2,10,0,5,30,0,0,1,1,1,0.0,0,5,0,0,6,0,1,0.0,0,0,2,0
3,2,3,1,13,8,2,1,9,0,9,13,0,0,4,2,0,0.0,0,2,0,0,1,0,1,0.0,0,1,0,0
3,1,1,3,9,10,0,0,10,0,2,17,0,0,4,0,0,0.0,0,3,1,0,11,0,0,0.0,0,0,0,0
5,4,5,3,12,10,0,2,10,0,1,18,0,1,4,3,0,0.0,0,7,0,0,7,0,5,0.0,0,2,1,0
3,1,2,3,4,4,0,0,7,0,0,22,0,2,4,2,0,0.0,0,3,0,0,6,0,1,0.0,0,1,0,0
5,4,4,3,0,10,0,1,8,0,11,41,0,0,8,2,0,0.0,0,8,0,0,2,0,3,0.0,0,2,0,0
3,2,3,3,3,5,1,2,9,0,1,10,0,0,4,1,3,0.0,0,6,1,0,4,0,1,0.0,3,1,3,0
3,6,2,1,7,7,1,2,7,4,2,8,0,0,2,1,0,0.0,0,11,1,0,5,4,1,0.0,0,1,3,4
3,2,0,1,4,10,0,0,8,4,0,13,0,2,2,2,0,0.0,0,9,0,0,7,0,1,0.0,1,2,3,0
5,4,3,4,11,1,0,1,7,4,3,8,0,0,5,3,0,0.0,0,7,0,0,5,0,4,0.0,0,2,0,0
3,0,1,3,4,10,0,0,11,0,6,24,0,0,1,1,0,0.0,0,1,0,0,4,0,1,0.0,0,1,0,0
3,7,2,1,6,6,0,0,10,0,7,7,0,1,1,4,0,0.0,0,8,1,0,5,0,5,0.0,1,2,3,2
3,3,1,1,4,5,1,0,6,0,9,8,0,0,6,2,0,0.0,0,10,1,0,2,0,3,0.0,0,2,3,1
3,0,2,3,9,10,1,1,9,3,8,8,0,0,3,1,0,0.0,0,5,1,0,5,0,1,0.0,0,2,2,0
3,1,0,3,11,1,0,0,11,0,0,6,0,0,2,2,1,1.0,0,0,1,0,4,0,1,0.0,0,4,3,0
3,1,3,3,1,10,0,2,6,0,0,17,0,0,7,1,0,0.0,0,9,0,0,2,6,0,0.0,1,1,0,0
3,2,2,3,6,10,0,1,12,0,2,38,0,0,4,1,3,3.0,0,3,0,0,2,0,1,0.0,0,0,0,1
3,1,2,1,3,2,1,1,9,5,8,14,0,0,8,1,0,0.0,0,2,0,0,8,0,1,0.0,2,1,0,0
5,2,2,3,5,4,1,1,7,0,1,8,0,1,3,2,0,0.0,0,6,1,0,4,0,3,0.0,0,2,0,0
3,2,5,2,4,9,1,2,8,1,5,19,0,0,3,0,0,0.0,0,3,1,0,9,0,0,0.0,0,0,0,0
3,4,1,1,9,5,0,1,7,0,2,22,0,0,2,1,0,0.0,0,6,1,0,8,0,1,0.0,1,0,3,1
3,3,3,0,12,7,0,2,7,5,3,42,0,0,6,3,0,0.0,0,9,0,0,4,0,3,0.0,2,1,3,3
3,2,0,0,7,6,0,0,10,4,2,24,0,0,4,2,0,0.0,0,3,0,0,12,0,1,0.0,0,1,0,0
3,9,0,3,4,10,1,1,8,4,6,0,0,0,8,6,3,0.0,0,4,0,0,1,0,6,0.0,0,6,0,0
3,2,1,3,6,10,0,1,9,4,2,8,0,2,5,4,0,0.0,0,2,0,0,10,0,2,0.0,0,4,2,0
3,7,2,3,9,7,0,1,11,2,1,30,0,0,7,0,0,0.0,0,2,0,0,11,0,0,0.0,1,0,0,0
3,0,3,2,6,5,1,0,8,5,0,14,0,0,6,0,0,0.0,0,8,1,0,4,0,1,0.0,0,0,3,0
5,3,2,0,3,9,0,2,6,4,2,38,0,0,5,2,0,0.0,0,8,1,0,10,0,1,0.0,0,1,0,0
3,4,1,3,0,10,0,0,8,0,2,32,0,0,4,2,1,1.0,0,6,1,0,7,0,2,0.0,1,2,1,0
5,3,2,3,3,6,0,2,6,4,2,13,0,0,5,2,0,0.0,0,7,1,0,1,0,1,0.0,0,1,3,0
5,5,4,1,4,1,1,2,8,0,1,8,0,0,3,2,1,1.0,0,5,0,0,9,0,3,0.0,1,4,0,0
3,3,3,1,8,0,1,0,6,4,10,13,0,0,6,5,0,0.0,0,6,1,0,7,0,1,0.0,5,1,0,0
3,2,1,3,11,1,1,0,6,0,4,1,0,0,5,1,0,0.0,0,5,1,0,12,0,1,0.0,0,0,0,0
3,9,0,5,13,4,0,2,9,4,1,30,0,0,8,2,0,0.0,1,4,1,0,7,0,3,0.0,1,1,3,4
3,3,1,3,10,5,1,2,10,0,0,7,0,0,8,8,0,0.0,0,4,0,0,8,0,2,0.0,8,1,3,1
3,7,0,3,0,4,0,2,11,2,7,13,0,0,4,2,0,0.0,1,8,0,0,7,0,2,0.0,0,1,1,2
3,2,2,2,4,10,0,2,9,0,3,8,0,1,4,2,0,0.0,0,4,0,0,11,0,2,0.0,0,2,3,0
3,3,2,5,4,2,0,2,6,0,0,0,0,0,7,4,0,0.0,0,6,1,0,12,0,4,0.0,1,6,3,1
3,0,0,3,6,0,1,1,12,4,3,8,0,0,4,0,0,0.0,0,5,0,0,2,0,1,0.0,0,0,0,0
3,3,2,3,4,3,1,1,9,0,2,9,0,0,7,3,0,0.0,0,0,0,0,2,0,2,0.0,1,1,0,0
3,2,3,3,11,1,1,1,7,5,1,30,0,0,3,3,0,0.0,0,7,1,0,3,0,3,0.0,0,3,0,0
5,3,2,3,2,1,0,1,11,0,8,38,0,0,6,1,0,0.0,0,1,0,0,3,0,0,0.0,1,1,4,2
5,3,5,5,8,2,1,1,9,6,0,21,0,0,9,0,0,0.0,0,9,1,0,3,0,0,0.0,0,0,2,1
3,1,4,3,0,2,1,1,12,7,6,20,0,1,3,2,0,0.0,0,4,1,1,2,0,2,0.0,0,1,0,0
3,2,0,3,10,0,1,0,9,4,2,4,0,0,7,1,0,0.0,0,3,0,0,11,0,1,0.0,2,1,1,0
3,1,2,4,9,6,0,1,8,0,3,21,0,0,4,3,0,0.0,0,7,1,0,6,0,4,0.0,0,2,0,0
3,8,1,3,0,10,2,1,10,0,0,19,0,1,6,5,0,0.0,0,6,0,0,1,0,5,0.0,3,3,3,3
3,2,2,4,4,7,0,2,7,0,4,24,0,0,7,0,1,1.0,0,2,1,0,12,0,1,0.0,0,1,2,0
3,3,2,0,7,9,0,1,8,0,8,26,0,0,1,1,1,0.0,0,9,1,0,11,0,1,0.0,0,0,0,0
5,0,3,3,9,10,2,1,7,5,0,19,0,0,9,1,0,0.0,0,4,1,0,5,0,0,0.0,0,0,5,0
3,4,1,3,4,8,0,1,6,0,6,4,0,0,0,3,0,0.0,0,6,1,0,10,0,1,0.0,0,3,3,0
3,2,2,3,11,5,2,2,7,0,5,14,0,0,0,1,1,1.0,0,5,0,0,8,0,1,0.0,3,1,1,0
3,5,1,1,1,5,1,1,12,5,7,20,0,0,3,2,0,0.0,0,2,0,0,8,0,1,0.0,0,0,0,0
3,0,2,0,9,3,2,0,6,5,2,5,0,0,3,2,1,1.0,0,0,0,0,3,5,0,0.0,0,1,0,0
3,5,0,2,5,10,2,2,7,0,5,0,0,0,1,5,0,0.0,0,2,1,0,3,5,3,0.0,1,6,0,0
5,4,1,2,5,0,0,1,6,2,0,10,0,1,2,2,0,0.0,0,1,1,0,4,0,1,0.0,0,2,3,4
3,1,2,2,11,10,2,1,11,6,9,13,0,0,4,2,0,0.0,0,7,0,0,8,0,2,0.0,0,1,2,0
3,7,1,2,9,5,0,2,7,0,0,13,0,0,3,2,0,0.0,0,5,1,0,5,0,3,0.0,0,2,0,0
3,5,0,2,10,10,0,2,7,4,5,43,0,0,8,2,0,0.0,0,6,0,0,5,0,1,0.0,2,2,3,0
3,5,2,1,5,10,0,1,11,0,1,23,0,0,2,2,0,0.0,0,6,1,0,4,0,2,0.0,0,1,3,3
5,5,4,0,12,10,1,2,9,0,3,8,0,0,1,2,0,0.0,0,10,0,0,8,0,3,0.0,1,3,0,0
5,4,2,3,0,0,0,1,10,0,3,0,0,0,3,2,0,0.0,0,7,0,0,11,0,2,0.0,0,1,2,5
3,6,2,1,11,10,0,1,7,1,9,13,0,2,0,2,0,0.0,0,7,1,0,9,0,2,0.0,1,2,1,0
5,4,2,3,7,8,2,2,3,2,1,8,0,0,8,2,0,0.0,0,0,1,0,8,1,1,0.0,0,1,0,0
3,5,0,1,9,4,0,1,8,0,0,10,0,0,9,2,0,0.0,0,2,0,0,9,0,2,0.0,0,1,0,0
5,2,2,1,11,0,0,1,10,0,4,8,0,1,3,2,0,0.0,0,4,0,0,10,0,1,0.0,0,1,4,0
3,3,1,3,4,10,1,0,8,4,7,30,0,0,7,0,0,0.0,0,7,0,0,5,0,1,0.0,0,1,2,2
3,4,4,3,6,10,0,0,7,0,4,14,0,0,2,4,0,0.0,0,4,0,0,2,0,4,0.0,0,3,3,0
3,1,3,3,9,10,0,0,11,0,6,24,0,0,4,4,0,0.0,0,7,1,0,10,0,5,0.0,0,3,0,0
3,3,0,1,4,10,0,0,9,2,3,2,0,0,7,2,0,0.0,0,4,0,0,10,0,2,0.0,0,1,3,2
3,2,1,3,4,10,0,1,9,4,0,13,0,0,1,1,1,1.0,0,3,0,0,9,0,1,0.0,1,2,0,0
5,2,1,3,2,10,0,1,12,2,8,44,0,0,1,2,0,0.0,0,1,0,0,8,0,1,0.0,2,0,4,0
3,7,2,1,10,0,0,1,9,1,2,8,0,1,5,1,0,0.0,0,9,0,0,10,0,2,0.0,0,0,0,0
3,2,2,2,0,10,0,0,9,0,9,24,0,0,6,1,1,1.0,0,10,0,0,2,0,1,0.0,1,1,0,0
3,7,3,1,4,3,0,2,8,0,4,8,0,0,1,2,0,0.0,0,6,0,0,5,0,3,0.0,0,5,0,1
3,1,1,0,7,10,1,2,10,4,1,8,0,0,4,2,0,0.0,0,7,0,0,3,0,2,0.0,1,1,0,0
3,1,1,3,0,0,2,0,5,1,0,13,0,0,2,3,0,0.0,0,9,1,0,10,0,1,0.0,0,1,0,0
3,2,0,3,4,10,0,0,10,4,1,12,0,1,3,1,0,0.0,0,2,0,0,11,0,0,0.0,4,1,3,0
3,3,2,1,4,0,1,1,9,0,5,35,0,0,4,0,0,0.0,0,3,1,0,6,0,1,0.0,0,0,3,1
3,1,2,3,13,10,0,0,7,0,1,14,0,0,0,2,0,0.0,0,2,0,0,9,0,1,0.0,0,0,0,0
3,1,2,4,11,2,1,0,8,5,10,39,0,0,4,1,2,2.0,0,3,1,0,6,0,2,0.0,0,2,1,0
3,1,2,3,13,5,1,2,9,5,11,14,0,0,2,0,0,0.0,0,6,0,0,4,0,1,0.0,0,0,0,0
3,6,1,3,9,5,0,2,6,0,4,14,0,0,5,2,0,0.0,0,6,1,0,6,0,1,0.0,2,1,3,1
3,1,2,1,2,2,1,1,9,0,2,3,0,0,3,4,0,0.0,0,4,0,0,4,0,1,0.0,3,0,0,0
3,0,2,0,2,10,0,1,6,0,1,7,0,0,1,1,0,0.0,0,4,1,0,8,0,0,0.0,2,4,3,0
5,5,2,3,4,8,0,0,9,0,2,38,0,0,4,2,0,0.0,0,7,0,0,8,0,1,0.0,0,1,2,0
3,0,0,3,11,3,0,0,4,0,8,37,0,0,4,1,1,1.0,0,1,1,0,7,0,1,0.0,0,1,2,0
5,2,2,3,8,10,1,1,7,0,7,8,0,0,1,3,0,0.0,0,9,1,0,4,0,3,0.0,0,3,0,0
3,5,4,0,4,4,1,2,8,0,2,13,0,0,2,6,0,0.0,0,8,1,0,2,0,5,0.0,3,2,0,0
5,3,4,5,11,2,1,1,9,0,1,30,0,0,4,1,0,0.0,0,9,0,0,12,0,1,0.0,0,0,0,0
3,1,2,3,4,7,0,0,8,0,0,3,0,1,3,1,1,1.0,0,8,1,0,2,0,1,0.0,0,1,0,0
5,5,2,4,11,7,2,0,10,2,0,1,0,2,7,2,1,0.0,0,1,0,0,7,0,3,0.0,0,2,1,2
5,4,4,3,9,10,1,2,8,0,0,13,0,0,2,5,0,0.0,0,4,1,0,8,0,5,0.0,2,4,0,0
3,4,2,1,1,10,1,0,9,0,2,17,0,0,7,2,1,1.0,0,3,1,0,1,0,1,0.0,2,1,0,0
3,3,0,4,0,10,2,1,8,2,3,20,0,0,6,2,0,0.0,0,2,0,0,10,0,1,0.0,1,3,0,3
3,2,2,1,7,10,0,0,6,0,6,9,0,1,1,1,0,0.0,0,8,1,0,12,0,1,0.0,1,3,0,0
5,3,3,3,4,0,1,1,8,4,0,19,0,0,6,4,0,0.0,0,8,0,0,8,0,1,0.0,3,1,2,0
3,3,0,1,12,10,0,0,12,0,1,23,0,0,9,3,0,0.0,0,1,0,0,1,0,2,0.0,0,2,1,0
3,1,2,1,10,10,0,0,10,2,7,14,0,0,3,3,1,1.0,0,3,0,0,12,0,3,0.0,0,3,0,0
5,4,4,3,4,1,2,1,7,0,5,13,0,0,4,2,2,1.0,0,6,1,0,11,5,2,0.0,0,3,0,0
3,5,1,0,12,0,0,1,8,0,3,24,0,0,4,2,0,0.0,0,4,1,0,4,0,1,0.0,1,2,3,3
3,2,1,4,5,10,0,0,9,0,2,26,0,0,3,3,0,0.0,0,2,0,0,11,0,1,0.0,0,4,0,0
3,3,1,1,3,10,0,1,9,2,4,3,0,0,6,3,0,0.0,0,3,1,0,5,0,2,0.0,0,2,3,3
3,1,3,0,1,8,0,1,7,9,2,38,0,0,4,0,1,1.0,0,0,1,0,7,0,0,0.0,0,0,0,0
3,1,2,3,6,2,1,2,9,5,3,8,0,1,0,2,0,0.0,0,7,0,0,7,0,1,0.0,1,0,0,0
3,0,1,2,9,10,1,2,10,5,6,21,0,0,5,2,0,0.0,0,0,0,0,9,0,0,0.0,2,1,0,0
3,2,2,3,11,8,2,0,8,0,1,19,0,4,7,1,1,0.0,0,3,0,0,8,0,1,0.0,0,2,3,1
5,2,1,3,2,10,0,1,7,0,2,24,0,0,4,3,0,0.0,0,5,1,0,8,4,3,0.0,0,3,4,1
3,7,3,3,11,10,1,1,9,5,5,8,0,0,3,3,0,0.0,0,10,0,0,4,0,4,0.0,0,1,0,0
3,5,0,4,0,3,0,2,7,0,5,18,0,0,5,1,0,0.0,0,7,1,0,9,0,1,0.0,1,0,3,0
3,1,3,1,0,1,1,0,6,0,1,8,0,0,4,2,0,0.0,0,6,0,0,4,0,3,0.0,0,3,2,0
5,5,5,3,10,4,2,1,9,0,3,7,0,1,3,0,0,0.0,0,9,0,0,7,0,0,0.0,0,1,0,0
3,2,1,1,9,8,0,1,9,0,1,14,0,0,6,2,0,0.0,0,5,0,1,3,0,2,0.0,1,1,3,0
3,2,4,3,9,9,0,2,8,0,1,14,0,1,6,1,0,0.0,0,3,1,0,6,0,0,0.0,0,0,0,0
3,0,1,1,0,10,0,1,9,8,1,30,0,3,5,1,0,0.0,0,2,0,0,4,0,1,0.0,0,1,0,0
5,3,4,1,3,1,2,0,7,4,5,0,0,0,0,1,0,0.0,1,7,0,0,3,0,2,0.0,0,1,0,0
3,4,1,3,13,1,1,1,9,0,1,15,0,0,5,1,0,0.0,0,6,1,0,7,0,1,0.0,0,2,2,0
3,2,0,3,0,4,0,0,9,4,0,10,0,0,4,1,0,0.0,0,7,0,0,6,0,1,0.0,0,1,0,0
5,4,1,5,11,6,0,1,6,0,9,13,0,0,9,3,0,0.0,0,5,1,0,12,0,1,0.0,2,1,0,0
5,4,5,4,0,10,0,2,10,9,2,3,0,0,5,7,1,1.0,0,5,0,0,11,0,2,0.0,4,2,3,0
3,5,1,1,9,3,0,2,9,0,2,3,0,0,5,4,0,0.0,0,7,0,0,8,0,4,0.0,0,3,3,1
3,1,1,1,5,10,1,2,9,0,5,13,0,0,6,3,0,0.0,0,10,1,0,5,0,5,0.0,0,2,1,1
3,1,1,3,8,10,0,0,11,2,3,7,0,1,8,4,0,0.0,0,2,0,0,10,0,5,0.0,0,3,3,0
5,3,3,1,2,2,0,1,8,0,7,22,0,0,1,2,1,1.0,0,9,1,0,11,0,2,0.0,1,0,0,0
5,5,3,0,13,2,0,2,8,0,0,25,0,2,2,3,0,0.0,0,2,1,0,2,0,3,0.0,1,3,0,0
5,2,0,2,0,7,0,0,10,4,2,8,0,0,7,3,0,0.0,0,3,0,0,11,0,1,0.0,0,3,2,0
3,6,0,3,11,10,0,1,8,4,2,8,0,0,5,3,0,0.0,0,4,1,0,6,0,3,0.0,0,3,0,0
3,3,4,2,2,1,1,2,10,0,7,21,0,0,3,5,0,0.0,0,5,1,0,10,0,2,0.0,2,1,0,0
5,2,2,3,10,4,0,0,8,4,9,43,0,0,3,2,0,0.0,0,5,0,0,6,0,2,0.0,1,2,5,0
3,1,4,1,10,10,1,2,9,0,4,9,0,0,1,2,1,0.0,0,7,1,0,5,0,3,0.0,0,2,0,0
5,2,2,1,13,10,1,1,7,4,1,14,0,0,4,2,0,0.0,0,8,0,0,1,0,2,0.0,1,4,2,1
3,5,6,1,13,2,1,2,11,0,3,7,0,0,0,2,1,1.0,0,7,1,0,1,0,2,0.0,3,3,0,0
3,4,1,0,11,10,0,2,6,4,2,5,0,0,4,2,0,0.0,0,5,1,0,4,0,2,0.0,0,1,3,0
5,2,1,3,4,10,0,0,12,0,4,9,0,0,6,2,0,0.0,0,3,0,0,7,0,1,0.0,0,1,3,5
3,2,1,3,4,10,1,2,10,0,0,22,0,0,8,1,1,1.0,0,3,0,0,10,0,1,0.0,0,1,3,0
3,5,3,3,11,10,0,0,8,0,1,21,0,0,2,4,0,0.0,0,6,1,0,9,0,5,0.0,0,4,0,0
3,1,2,3,10,10,1,2,5,4,2,14,0,0,3,1,0,0.0,0,5,1,0,11,4,1,0.0,0,1,0,0
3,1,1,3,8,9,1,0,8,4,1,13,0,0,3,0,0,0.0,0,8,0,0,7,0,1,0.0,0,1,3,1
3,2,0,3,0,7,0,0,5,0,1,30,0,0,5,1,0,0.0,0,2,1,0,10,3,0,0.0,0,3,0,0
3,9,1,2,11,8,1,2,7,4,1,8,0,0,9,4,0,0.0,0,7,0,0,10,0,4,0.0,1,3,0,0
3,9,2,3,2,8,1,2,9,0,4,18,0,1,4,2,0,0.0,0,11,0,0,5,0,1,0.0,1,1,0,0
3,9,1,3,4,10,0,2,8,2,5,19,0,1,2,2,0,0.0,0,4,0,0,10,0,2,0.0,1,2,0,3
3,2,1,5,3,2,0,1,7,0,2,14,0,0,1,2,0,0.0,0,4,0,0,12,0,2,0.0,1,0,3,1
5,6,1,0,7,10,0,1,9,2,0,26,0,1,8,2,0,0.0,0,1,0,0,11,0,1,0.0,0,0,0,0
5,2,4,3,8,0,1,1,9,0,0,14,0,0,6,2,0,0.0,0,7,0,0,4,0,2,0.0,0,1,5,2
5,3,2,3,11,7,0,1,3,4,1,8,0,0,4,3,0,0.0,0,3,1,0,9,0,1,0.0,0,1,2,3
3,3,3,3,11,3,1,0,9,4,2,2,0,0,2,0,0,0.0,0,7,1,0,10,0,1,0.0,0,0,0,0
3,0,1,3,0,5,1,1,11,0,3,21,0,1,5,2,0,0.0,0,1,0,0,3,0,0,0.0,0,0,3,0
5,3,6,3,10,1,0,2,3,0,8,19,0,1,1,1,0,0.0,0,3,1,0,4,2,1,0.0,0,1,0,0
3,0,1,0,0,1,1,0,2,10,2,0,0,0,7,1,0,0.0,0,7,1,0,7,3,1,0.0,0,1,0,0
5,3,2,3,3,10,0,1,9,0,2,14,0,0,3,2,1,1.0,0,7,0,0,5,0,2,0.0,1,3,0,0
5,2,3,3,11,8,0,0,8,0,0,28,0,0,3,2,0,0.0,0,8,0,0,10,0,2,0.0,0,1,0,0
5,7,3,4,10,10,0,2,7,4,0,3,0,0,3,5,0,0.0,0,5,0,0,6,0,5,0.0,1,4,0,0
5,3,2,1,9,6,1,0,11,0,1,8,0,0,4,1,0,0.0,0,9,0,0,11,0,1,0.0,0,0,2,0
5,2,1,2,6,10,1,1,7,0,2,13,0,0,2,3,0,0.0,0,2,1,0,7,0,5,0.0,0,3,0,0
3,10,2,0,6,10,1,2,9,0,0,21,0,0,1,1,0,0.0,0,11,0,0,9,0,3,0.0,0,1,0,0
3,4,1,2,2,10,0,0,8,0,0,14,0,0,4,1,0,0.0,0,9,1,0,9,0,1,0.0,0,1,0,0
5,5,0,3,7,1,0,1,9,0,7,10,0,0,5,2,0,0.0,0,4,0,0,9,0,2,0.0,3,2,0,0
3,9,4,1,3,3,2,2,10,2,1,21,0,3,3,2,0,0.0,0,0,0,0,9,0,0,0.0,1,1,0,0
5,2,0,3,7,10,0,1,10,0,1,30,0,0,5,2,0,0.0,0,1,1,0,7,0,2,0.0,0,4,0,0
3,1,1,3,7,3,1,1,10,4,2,14,0,0,3,0,0,0.0,0,6,0,0,10,0,1,0.0,0,0,2,0
3,0,3,2,2,0,0,1,10,5,3,17,0,0,2,4,0,0.0,0,9,1,0,3,0,2,0.0,3,3,0,0
3,1,1,5,10,2,1,2,9,4,0,4,0,0,1,3,0,0.0,0,6,0,0,7,0,1,0.0,2,0,3,0
3,6,2,3,3,8,0,2,8,4,0,0,0,0,4,3,0,0.0,0,7,1,0,10,0,4,0.0,0,2,1,0
3,4,1,1,7,10,0,1,8,0,0,12,0,0,2,2,0,0.0,0,4,1,0,5,0,2,0.0,0,1,3,3
3,7,1,1,4,10,0,0,5,0,7,2,0,1,7,2,0,0.0,0,4,0,0,3,5,1,0.0,0,1,3,1
3,6,1,3,10,10,1,0,9,4,1,0,0,0,7,1,0,0.0,0,8,0,0,6,0,1,0.0,1,1,2,2
3,2,3,3,0,10,0,1,7,5,10,3,0,0,6,6,0,0.0,0,9,1,0,3,0,2,0.0,5,3,3,1
3,4,2,3,11,1,0,1,7,0,4,24,0,0,2,2,0,0.0,0,5,1,0,3,0,3,0.0,0,1,3,0
5,2,0,3,0,10,2,1,8,0,4,3,0,0,2,1,0,0.0,0,0,0,0,12,0,1,0.0,0,1,0,0
5,3,4,3,10,6,2,2,6,5,1,30,0,0,1,2,2,1.0,0,5,1,0,6,0,1,0.0,1,0,0,0
3,0,2,3,0,10,1,2,12,10,1,30,0,0,2,0,0,0.0,0,10,0,0,11,0,1,0.0,0,0,0,0
3,6,0,0,6,4,1,0,9,0,2,8,0,0,4,2,0,0.0,0,0,0,0,7,0,1,0.0,0,1,3,7
3,5,1,4,7,6,1,0,9,3,0,2,0,1,9,1,0,0.0,0,0,0,0,1,0,0,0.0,0,0,0,1
3,1,2,0,9,4,2,1,11,0,4,10,0,1,0,2,0,0.0,0,2,0,0,10,0,2,0.0,1,1,3,0
5,2,2,3,1,10,0,2,8,0,2,26,0,0,2,2,0,0.0,0,10,0,0,8,0,1,0.0,0,1,0,0
3,2,2,3,10,10,1,1,11,0,2,13,0,0,6,2,0,0.0,0,9,0,0,5,0,0,0.0,0,0,0,0
5,4,3,3,7,8,0,1,8,0,10,24,0,0,5,3,0,0.0,0,7,0,0,2,0,3,0.0,0,1,4,0
3,5,1,3,0,10,0,1,9,4,1,8,0,0,1,2,1,1.0,0,9,0,0,10,0,1,0.0,1,1,1,0
3,4,1,3,0,2,1,1,6,4,0,25,0,0,4,1,0,0.0,0,8,1,0,10,1,1,0.0,0,0,2,0
5,5,1,2,4,9,0,1,9,0,0,25,0,0,0,2,0,0.0,0,3,0,0,5,0,1,0.0,0,1,0,0
3,6,4,3,6,10,0,1,8,0,9,20,0,0,2,3,0,0.0,1,8,0,0,4,0,2,0.0,1,5,2,2
3,4,0,3,4,1,1,0,7,0,3,8,0,0,3,2,0,0.0,0,7,0,0,10,0,2,0.0,3,2,3,0
3,0,2,3,0,9,0,1,9,0,5,0,0,0,9,1,0,0.0,0,0,1,0,4,0,0,0.0,1,0,3,0
5,6,2,3,10,10,0,0,12,0,4,18,0,0,7,3,0,0.0,0,6,0,1,4,0,3,0.0,0,2,0,0
3,2,1,3,7,4,1,1,11,4,4,9,0,0,4,0,0,0.0,0,3,0,0,10,0,0,0.0,0,2,0,0
5,2,4,4,11,10,0,0,9,0,1,30,0,0,7,4,0,0.0,0,9,1,0,6,0,5,0.0,1,4,4,1
3,9,2,5,6,1,2,1,9,0,0,13,0,0,8,1,0,0.0,0,4,0,0,12,0,1,0.0,0,1,0,0
5,3,4,3,0,1,1,2,10,0,2,32,0,0,1,1,0,0.0,0,5,0,1,5,0,2,0.0,0,0,3,3
3,2,1,3,11,9,1,0,12,0,5,8,0,2,6,2,0,0.0,0,2,1,0,12,0,0,0.0,1,2,1,0
